Polnnaim%Sokrnaim%Adrefina%Domeimja%Nometele%INN%OGR%Infoo%Unna9%Unna10%Perefina%Otmeo%Dataobra
Общество с ограниченной ответственностью микрокредитная компания «ДОМфинанс»%ООО МКК «ДОМфинанс»%150000, Ярославская область, г. Ярославль, пер. Мукомольный, д. 6%info@micronzaim.ru; www.nalichnoe.ru%тел.: 8(4852)73-16-18%7604199529.0%1117604003660.0%2-11-01-76-000052%08.07.2011%Микрофинансовая деятельность%Предоставление микрозаймов (микрофинансирование)%%
"Некоммерческая микрокредитная компания ""Ивановский фонд поддержки предпринимательства"""%МКК Фонд ИФПП%153037, Ивановская область, г. Иваново, пр-т Шереметевский, д. 85Г, пом. 1014%mail@igfpmp.ru; http://www.igfpmp.ru%тел.: 84932300121, 84932308934%3728015495.0%1023700540160.0%6-11-01-37-000057%08.07.2011%Микрофинансовая деятельность%Предоставление микрозаймов (микрофинансирование)%%
Фонд микрофинансирования малых и средних предприятий Республики Северная Осетия-Алания - микрокредитная компания%Фонд микрофинансирования МСП РСО-Алания - микрокредитная компания%362038, Республика Северная Осетия-Алания, г. Владикавказ, пл. Свободы, д. 1%fondvlav@mail.ru; www.fondmicro15.ru%тел.: 8672402609%1515918749.0%1091500000074.0%6-11-04-15-000067%08.07.2011%Микрофинансовая деятельность%Предоставление микрозаймов (микрофинансирование)%%
Общество с ограниченной ответственностью микрофинансовая компания «МигКредит»%ООО МФК «МигКредит»%127018, г. Москва, Сущевский вал, д. 5, стр. 3%-; www.migcredit.ru%тел.: 84957853571%7715825027.0%1107746671207.0%2-11-01-77-000037%08.07.2011%Микрофинансовая деятельность%Предоставление микрозаймов (микрофинансирование)%%
%%%%%%%%%%Привлечение денежных средств физических и юридических лиц%%
Общество с ограниченной ответственностью Микрокредитная компания «Добрые Деньги»%ООО МКК «Добрые Деньги»%460000, Оренбургская область, г. Оренбург, ул. Советская, д. 52, оф. 23%goodmoney@orenmoney.ru; www.добрыеденьги.рф, www.orenmoney.ru%тел.: 83532572233%5612073237.0%1105658013372.0%2-11-05-56-000040%08.07.2011%Микрофинансовая деятельность%Предоставление микрозаймов (микрофинансирование)%%
Фонд «Микрокредитная компания Фонд поддержки малого предпринимательства городского округа Стрежевой»%Фонд «МКК ФПМП ГО Стрежевой»%636780, Томская область, г. Стрежевой, ул. Ермакова, д. 46-А%fondpmp@admstrj.tomsk.ru, Denichenko@admstrj.tomsk.ru, Ryzhkova@admstrj.tomsk.ru; http://fpmp.tomsk.ru/%тел.: 83825952433%7022016110.0%1077000001319.0%6-11-07-70-000041%08.07.2011%Микрофинансовая деятельность%Предоставление микрозаймов (микрофинансирование)%%
Микрокредитная компания Вологодской области «Фонд ресурсной поддержки малого и среднего предпринимательства»%МКК ВО «Фонд поддержки МСП»%160025, Вологодская область, г. Вологда, ул. Маршала Конева, д. 15, оф. 307%novofond@gmail.ru; www.frp35.ru%тел.: 88172737414, 88172737314, 88172730337%3525251257.0%1103500001219.0%6-11-02-35-000043%08.07.2011%Микрофинансовая деятельность%Предоставление микрозаймов (микрофинансирование)%%
Микрокредитная компания Новосибирский областной фонд микрофинансирования субъектов малого и среднего предпринимательства%МКК Фонд микрофинансирования НСО%630007, Новосибирская область, г. Новосибирск, ул. Сибревкома, д. 9, оф. 3%info@microfund.ru; https://www.microfund.ru/%тел.: 83832091333%5406570716.0%1105400002025.0%6-11-07-54-000044%08.07.2011%Микрофинансовая деятельность%Предоставление микрозаймов (микрофинансирование)%%
Общество с ограниченной ответственностью «Микрокредитная компания «КВИК МАНИ»%ООО «Микрокредитная компания «КВИК МАНИ»%196601, Город Санкт-Петербург, г. Пушкин, Октябрьский б-р, д. 41, пом. 3Н, лит. А%qm@unilord.ru; https://quick-money.org/ https://квикмани.рф%тел.: (812) 465-66-28%7802733703.0%1109847025023.0%2-11-02-78-000047%08.07.2011%Микрофинансовая деятельность%Предоставление микрозаймов (микрофинансирование)%%
Микрофинансовая компания «Быстроденьги» (Общество с ограниченной ответственностью)%МФК Быстроденьги (ООО)%123290, г. Москва, 1-й Магистральный тупик, д. 11, стр. 10%info@bistrodengi.ru; https://bistrodengi.ru%тел.: 8 (8422) 290240, 8 (495) 6909599%7325081622.0%1087325005899.0%2-11-05-73-000002%08.07.2011%Микрофинансовая деятельность%Предоставление микрозаймов (микрофинансирование)%%
%%%%%%%%%%Привлечение денежных средств физических и юридических лиц%%
Микрокредитная компания, некоммерческая организация «Фонд поддержки малого и среднего предпринимательства Республики Алтай»%МКК, НКО «Фонд поддержки МСП РА»%649000, Республика Алтай, г. Горно-Алтайск, ул. Комсомольская, д. 9, оф. 114%fond-ra@ya.ru; www.mspra.ru%тел.: 8 (38822) 4-72-21, 8 (38822) 2-31-55%411018879.0%1020400764031.0%6-11-07-04-000003%08.07.2011%Микрофинансовая деятельность%Предоставление микрозаймов (микрофинансирование)%%
Микрокредитная компания «Фонд микрофинансирования Тюменской области»%МКК Фонд микрофинансирования%625026, Тюменская область, г.о. город Тюмень, г. Тюмень, ул. Республики, д. 142%fmfto@obl72.ru; www.fmf72.ru%тел.: 8 3452 595045%7204137581.0%1107200001370.0%6-11-06-72-000007%08.07.2011%Микрофинансовая деятельность%Предоставление микрозаймов (микрофинансирование)%%
Общество с ограниченной ответственностью микрокредитная компания «Консалтинговая группа МиК»%ООО МКК «МиК»%362008, Республика Северная Осетия-Алания, г.о. город Владикавказ, г. Владикавказ, ул. Гадиева, д. 56, пом. 6%mik-consulting@mail.ru; http://mik-consulting.ru/%тел.: 88672291111, 89289351111%1513000833.0%1101513000753.0%2-11-04-15-000008%08.07.2011%Микрофинансовая деятельность%Предоставление микрозаймов (микрофинансирование)%%
Общество с ограниченной ответственностью Микрокредитная компания «Микрозайм»%ООО МКК «Микрозайм»%350089, Краснодарский край, г. Краснодар, пр-кт Чекистов, д. 25/3%mfo2010@mail.ru; www.microzaim1.ru%тел.: 88007700085%2308170753.0%1102308007548.0%2-11-03-23-000091%08.07.2011%Микрофинансовая деятельность%Предоставление микрозаймов (микрофинансирование)%%
Общество с ограниченной ответственностью Микрокредитная компания «Аэлита»%ООО МКК «Аэлита»%"457020, Челябинская область, г. Пласт, ул. Октябрьская, д. 62, офис ""Аэлита"""%kpkg74@mail.ru; www.25059.ru%тел.: 83516025059%7424028637.0%1117424000352.0%2-11-06-74-000191%08.07.2011%Микрофинансовая деятельность%Предоставление микрозаймов (микрофинансирование)%%
