Polnnaim%Sokrnaim%Adrefina%Domeimja%Nometele%INN%OGR%Lits%Unna9%Unna10%Perefina%Otmeo%Dataobra
%%%%%%%%%%Медицинское страхование%%
%%%%%%%СИ № 3969%22.09.2022%Добровольное имущественное страхование%Страхование средств наземного транспорта (за исключением средств железнодорожного транспорта)%%
%%%%%%%%%%Страхование средств железнодорожного транспорта%%
%%%%%%%%%%Страхование средств воздушного транспорта%%
%%%%%%%%%%Страхование средств водного транспорта%%
%%%%%%%%%%Страхование грузов%%
%%%%%%%%%%Сельскохозяйственное страхование (страхование урожая, сельскохозяйственных культур, многолетних насаждений, животных)%%
%%%%%%%%%%Страхование имущества юридических лиц, за исключением транспортных средств и сельскохозяйственного страхования%%
%%%%%%%%%%Страхование имущества граждан, за исключением транспортных средств%%
%%%%%%%%%%Страхование гражданской ответственности владельцев автотранспортных средств%%
%%%%%%%%%%Страхование гражданской ответственности владельцев средств воздушного транспорта%%
%%%%%%%%%%Страхование гражданской ответственности владельцев средств водного транспорта%%
%%%%%%%%%%Страхование гражданской ответственности владельцев средств железнодорожного транспорта%%
%%%%%%%%%%Страхование гражданской ответственности организаций, эксплуатирующих опасные объекты%%
%%%%%%%%%%Страхование гражданской ответственности за причинение вреда вследствие недостатков товаров, работ, услуг%%
%%%%%%%%%%Страхование гражданской ответственности за причинение вреда третьим лицам%%
%%%%%%%%%%Страхование гражданской ответственности за неисполнение или ненадлежащее исполнение обязательств по договору%%
%%%%%%%%%%Страхование предпринимательских рисков%%
%%%%%%%%%%Страхование финансовых рисков%%
"Страховое акционерное общество ""ВСК"""%"САО ""ВСК"""%121552, Город Москва, г. Москва, улица Островная, дом 4%info@vsk.ru; www.vsk.ru%тел.: 8 (495) 785-27-76%7710026574.0%1027700186062.0%СЛ № 0621%11.09.2015%Добровольное личное страхование, за исключением добровольного страхования жизни%Страхование от несчастных случаев и болезней%%
%%%%%%%%%%Медицинское страхование%%
%%%%%%%СИ № 0621%11.09.2015%Добровольное имущественное страхование%Страхование средств наземного транспорта (за исключением средств железнодорожного транспорта)%%
%%%%%%%%%%Страхование средств железнодорожного транспорта%%
%%%%%%%%%%Страхование средств воздушного транспорта%%
%%%%%%%%%%Страхование средств водного транспорта%%
%%%%%%%%%%Страхование грузов%%
%%%%%%%%%%Сельскохозяйственное страхование (страхование урожая, сельскохозяйственных культур, многолетних насаждений, животных)%%
%%%%%%%%%%Страхование имущества юридических лиц, за исключением транспортных средств и сельскохозяйственного страхования%%
%%%%%%%%%%Страхование имущества граждан, за исключением транспортных средств%%
%%%%%%%%%%Страхование гражданской ответственности владельцев автотранспортных средств%%
%%%%%%%%%%Страхование гражданской ответственности владельцев средств воздушного транспорта%%
%%%%%%%%%%Страхование гражданской ответственности владельцев средств водного транспорта%%
%%%%%%%%%%Страхование гражданской ответственности владельцев средств железнодорожного транспорта%%
%%%%%%%%%%Страхование гражданской ответственности организаций, эксплуатирующих опасные объекты%%
%%%%%%%%%%Страхование гражданской ответственности за причинение вреда вследствие недостатков товаров, работ, услуг%%
%%%%%%%%%%Страхование гражданской ответственности за причинение вреда третьим лицам%%
%%%%%%%%%%Страхование гражданской ответственности за неисполнение или ненадлежащее исполнение обязательств по договору%%
%%%%%%%%%%Страхование предпринимательских рисков%%
%%%%%%%%%%Страхование финансовых рисков%%
%%%%%%%ОС № 0621 - 03%11.09.2015%Обязательное страхование гражданской ответственности владельцев транспортных средств%Обязательное страхование гражданской ответственности владельцев транспортных средств%%
%%%%%%%ОС № 0621 - 04%11.09.2015%Обязательное страхование гражданской ответственности владельца опасного объекта за причинение вреда в результате аварии на опасном объекте%Обязательное страхование гражданской ответственности владельца опасного объекта за причинение вреда в результате аварии на опасном объекте%%
%%%%%%%ОС № 0621 - 05%11.09.2015%Обязательное страхование гражданской ответственности перевозчика за причинение при перевозках вреда жизни, здоровью, имуществу пассажиров%Обязательное страхование гражданской ответственности перевозчика за причинение при перевозках вреда жизни, здоровью, имуществу пассажиров%%
"Акционерное общество ""Страховое общество ""Талисман"""%"АО ""СО ""Талисман"""%420111, Республика Татарстан (Татарстан), г. Казань, г.о. город Казань, г. Казань, ул. Пушкина, д. 11, помещ. 3%info@talisman-so.ru; www.talisman-so.ru%тел.: 8 (843) 264-57-80, 221-14-91; факс: 8 (843)  221-14-98%1655004449.0%1021602840181.0%СЛ № 1587%24.10.2022%Добровольное личное страхование, за исключением добровольного страхования жизни%Страхование от несчастных случаев и болезней%%
%%%%%%%%%%Медицинское страхование%%
%%%%%%%СИ № 1587%24.10.2022%Добровольное имущественное страхование%Страхование средств наземного транспорта (за исключением средств железнодорожного транспорта)%%
%%%%%%%%%%Страхование средств железнодорожного транспорта%%
%%%%%%%%%%Страхование средств воздушного транспорта%%
%%%%%%%%%%Страхование средств водного транспорта%%
%%%%%%%%%%Страхование грузов%%
%%%%%%%%%%Сельскохозяйственное страхование (страхование урожая, сельскохозяйственных культур, многолетних насаждений, животных)%%
%%%%%%%%%%Страхование имущества юридических лиц, за исключением транспортных средств и сельскохозяйственного страхования%%
%%%%%%%%%%Страхование имущества граждан, за исключением транспортных средств%%
%%%%%%%%%%Страхование гражданской ответственности владельцев автотранспортных средств%%
%%%%%%%%%%Страхование гражданской ответственности владельцев средств воздушного транспорта%%
%%%%%%%%%%Страхование гражданской ответственности владельцев средств водного транспорта%%
%%%%%%%%%%Страхование гражданской ответственности владельцев средств железнодорожного транспорта%%
%%%%%%%%%%Страхование гражданской ответственности организаций, эксплуатирующих опасные объекты%%
%%%%%%%%%%Страхование гражданской ответственности за причинение вреда вследствие недостатков товаров, работ, услуг%%
%%%%%%%%%%Страхование гражданской ответственности за причинение вреда третьим лицам%%
%%%%%%%%%%Страхование гражданской ответственности за неисполнение или ненадлежащее исполнение обязательств по договору%%
%%%%%%%%%%Страхование предпринимательских рисков%%
%%%%%%%%%%Страхование финансовых рисков%%
%%%%%%%ОС № 1587 - 03%24.10.2022%Обязательное страхование гражданской ответственности владельцев транспортных средств%Обязательное страхование гражданской ответственности владельцев транспортных средств%%
"Акционерное общество ""Страховая компания ""Астро-Волга"""%"АО ""СК ""Астро-Волга"""%443001, Самарская область, г. Самара, улица Арцыбушевская, дом 167%sk@astrovolga.ru; www.astrovolga.ru%тел.: 8 (846) 200-77-60 (1146); факс:  8 (846) 200-77-60 (1146)%6315232133.0%1036300442045.0%СЛ № 2619%22.01.2018%Добровольное личное страхование, за исключением добровольного страхования жизни%Страхование от несчастных случаев и болезней%%
%%%%%%%%%%Медицинское страхование%%
%%%%%%%СИ № 2619%22.01.2018%Добровольное имущественное страхование%Страхование средств наземного транспорта (за исключением средств железнодорожного транспорта)%%
%%%%%%%%%%Страхование средств железнодорожного транспорта%%
%%%%%%%%%%Страхование средств воздушного транспорта%%
%%%%%%%%%%Страхование средств водного транспорта%%
%%%%%%%%%%Страхование грузов%%
%%%%%%%%%%Сельскохозяйственное страхование (страхование урожая, сельскохозяйственных культур, многолетних насаждений, животных)%%
%%%%%%%%%%Страхование имущества юридических лиц, за исключением транспортных средств и сельскохозяйственного страхования%%
%%%%%%%%%%Страхование имущества граждан, за исключением транспортных средств%%
%%%%%%%%%%Страхование гражданской ответственности владельцев автотранспортных средств%%
%%%%%%%%%%Страхование гражданской ответственности владельцев средств воздушного транспорта%%
%%%%%%%%%%Страхование гражданской ответственности владельцев средств водного транспорта%%
%%%%%%%%%%Страхование гражданской ответственности владельцев средств железнодорожного транспорта%%
%%%%%%%%%%Страхование гражданской ответственности организаций, эксплуатирующих опасные объекты%%
%%%%%%%%%%Страхование гражданской ответственности за причинение вреда вследствие недостатков товаров, работ, услуг%%
%%%%%%%%%%Страхование гражданской ответственности за причинение вреда третьим лицам%%
%%%%%%%%%%Страхование гражданской ответственности за неисполнение или ненадлежащее исполнение обязательств по договору%%
%%%%%%%%%%Страхование предпринимательских рисков%%
%%%%%%%%%%Страхование финансовых рисков%%
