reg;naimko;regko;golofic;filial;dopof;vsego


Белгородская область;АО ЮниКредит Банк;1;;;1;1
Белгородская область;ООО «ХКФ Банк»;316;;;2;2
Белгородская область;Банк ГПБ (АО);354;;;3;3
Белгородская область;ПАО КБ «УБРиР»;429;;;2;2
Белгородская область;АО «Почта Банк»;650;;;3;3
Белгородская область;АО УКБ «Белгородсоцбанк»;760;1;;2;3
Белгородская область;ПАО «Совкомбанк»;963;;;4;4
Белгородская область;Банк ВТБ (ПАО);1000;;;13;13
Белгородская область;ООО «ФФИН Банк»;1143;;;1;1
Белгородская область;АО «АЛЬФА-БАНК»;1326;;;8;8
Белгородская область;РНКБ Банк (ПАО);1354;;;1;1
Белгородская область;ПАО Сбербанк;1481;;1;224;225
Белгородская область;АО МОСОБЛБАНК;1751;;;1;1
Белгородская область;ПАО Банк «ФК Открытие»;2209;;;5;5
Белгородская область;ТКБ БАНК ПАО;2210;;;1;1
Белгородская область;ПАО РОСБАНК;2272;;;2;2
Белгородская область;ПАО «БАНК УРАЛСИБ»;2275;;;2;2
Белгородская область;АО «Банк Русский Стандарт»;2289;;;4;4
Белгородская область;ПАО АКБ «Металлинвестбанк»;2440;;1;9;10
Белгородская область;ООО «банк Раунд»;2506;;;1;1
Белгородская область;КБ «ЛОКО-Банк» (АО);2707;;;1;1
Белгородская область;ИНВЕСТТОРГБАНК АО;2763;;;1;1
Белгородская область;АО «Банк ФИНАМ»;2799;;;1;1
Белгородская область;ПАО АКБ «АВАНГАРД»;2879;;;2;2
Белгородская область;АО «Экспобанк»;2998;;;1;1
Белгородская область;ПАО «Промсвязьбанк»;3251;;;4;4
Белгородская область;АО «Райффайзенбанк»;3292;;;1;1
Белгородская область;АО «Россельхозбанк»;3349;;1;18;19
Белгородская область;КБ «Ренессанс Кредит» (ООО);3354;;;1;1
Белгородская область;АО КБ «РУСНАРБАНК»;3403;;;1;1
Белгородская область;АО Банк «Национальный стандарт»;3421;;;1;1
Белгородская область;НКО «ИНКАХРАН» (АО);3454;;;1;1
Белгородская область;ЦМРБанк (ООО);3531;;;1;1
Брянская область;ООО «ХКФ Банк»;316;;;1;1
Брянская область;Банк ГПБ (АО);354;;;2;2
Брянская область;ПАО КБ «УБРиР»;429;;;1;1
Брянская область;АО «Почта Банк»;650;;;3;3
Брянская область;ПАО «Совкомбанк»;963;;;2;2
Брянская область;Банк ВТБ (ПАО);1000;;;8;8
Брянская область;АО «АЛЬФА-БАНК»;1326;;;4;4
Брянская область;ПАО Сбербанк;1481;;1;76;77
Брянская область;ПАО Банк «ФК Открытие»;2209;;;2;2
Брянская область;ТКБ БАНК ПАО;2210;;;1;1
Брянская область;ПАО РОСБАНК;2272;;;1;1
Брянская область;ПАО «БАНК УРАЛСИБ»;2275;;;4;4
Брянская область;АО «Банк Русский Стандарт»;2289;;;2;2
Брянская область;АО «Банк ФИНАМ»;2799;;;1;1
Брянская область;АО «Экспобанк»;2998;;;1;1
Брянская область;ПАО «Промсвязьбанк»;3251;;;4;4
Брянская область;АО «Газэнергобанк»;3252;;;2;2
Брянская область;Банк «ВБРР» (АО);3287;;;1;1
Брянская область;АО «Райффайзенбанк»;3292;;;1;1
